frame,decision,object,distance,reason,track_id
7,BRAKE,car,5.952380598072583,Object close,15
7,BRAKE,car,6.134968948774911,Object close,16
7,BRAKE,car,5.917159413185834,Object close,19
7,STEER LEFT,car,5.714285387755121,Object in center path,21
7,STEER LEFT,car,4.347825897920613,Object in center path,22
8,STEER LEFT,car,6.211179738436041,Object in center path,1
8,STEER LEFT,car,6.711408945543024,Object in center path,2
8,BRAKE,car,5.291005011057936,Object close,3
8,BRAKE,car,5.291005011057936,Object close,4
8,BRAKE,car,5.780346486685174,Object close,5
8,STEER LEFT,car,5.988023593531521,Object in center path,6
8,STEER LEFT,car,6.711408945543024,Object in center path,7
8,STEER LEFT,car,5.586591866670846,Object in center path,8
8,BRAKE,car,6.289307780546681,Object close,9
8,STEER LEFT,car,6.369426345896411,Object in center path,10
8,BRAKE,car,5.714285387755121,Object close,11
8,BRAKE,car,5.917159413185834,Object close,12
8,BRAKE,car,4.08163248646398,Object close,13
8,BRAKE,car,5.847952874388721,Object close,14
8,BRAKE,car,5.917159413185834,Object close,15
8,BRAKE,car,6.134968948774911,Object close,16
8,BRAKE,car,5.988023593531521,Object close,19
8,STEER LEFT,car,5.319148653236773,Object in center path,21
8,STEER LEFT,car,4.405286149546866,Object in center path,22
9,STEER LEFT,car,6.134968948774911,Object in center path,1
9,STEER LEFT,car,6.6666662222222515,Object in center path,2
9,BRAKE,car,5.319148653236773,Object close,3
9,BRAKE,car,5.263157617728546,Object close,4
9,BRAKE,car,5.780346486685174,Object close,5
9,STEER LEFT,car,6.134968948774911,Object in center path,6
9,STEER LEFT,car,6.622516117714164,Object in center path,7
9,STEER LEFT,car,5.649717194931232,Object in center path,8
9,BRAKE,car,6.134968948774911,Object close,9
9,STEER LEFT,car,6.289307780546681,Object in center path,10
9,BRAKE,car,5.681817858987621,Object close,11
9,BRAKE,car,5.952380598072583,Object close,12
9,BRAKE,car,4.098360487772111,Object close,13
9,BRAKE,car,5.813953150351561,Object close,14
9,BRAKE,car,5.917159413185834,Object close,15
9,BRAKE,car,6.172839125133387,Object close,16
9,BRAKE,car,6.134968948774911,Object close,19
9,STEER LEFT,car,5.3763437969707635,Object in center path,21
9,STEER LEFT,car,4.484304731645528,Object in center path,22
10,STEER LEFT,car,6.134968948774911,Object in center path,1
10,STEER LEFT,car,6.6666662222222515,Object in center path,2
10,BRAKE,car,5.347593296920144,Object close,3
10,BRAKE,car,5.263157617728546,Object close,4
10,BRAKE,car,5.780346486685174,Object close,5
10,STEER LEFT,car,6.024096022644818,Object in center path,6
10,STEER LEFT,car,6.6666662222222515,Object in center path,7
10,STEER LEFT,car,5.586591866670846,Object in center path,8
10,BRAKE,car,6.134968948774911,Object close,9
10,STEER LEFT,car,6.329113523473827,Object in center path,10
10,BRAKE,car,5.813953150351561,Object close,11
10,BRAKE,car,6.369426345896411,Object close,12
10,BRAKE,car,4.098360487772111,Object close,13
10,BRAKE,car,5.747126106487006,Object close,14
10,BRAKE,car,5.882352595155729,Object close,15
10,BRAKE,car,6.211179738436041,Object close,16
10,BRAKE,car,6.134968948774911,Object close,19
10,STEER LEFT,car,5.434782313327048,Object in center path,21
10,STEER LEFT,car,4.566209837159368,Object in center path,22
11,STEER LEFT,car,6.134968948774911,Object in center path,1
11,STEER LEFT,car,6.711408945543024,Object in center path,2
11,BRAKE,car,5.405405113221345,Object close,3
11,BRAKE,car,5.319148653236773,Object close,4
11,BRAKE,car,5.780346486685174,Object close,5
11,STEER LEFT,car,6.09756060380728,Object in center path,6
11,STEER LEFT,car,6.711408945543024,Object in center path,7
11,STEER LEFT,car,5.555555246913597,Object in center path,8
11,BRAKE,car,6.09756060380728,Object close,9
11,STEER LEFT,car,6.493506071850255,Object in center path,10
11,BRAKE,car,5.747126106487006,Object close,11
11,BRAKE,car,6.622516117714164,Object close,12
11,BRAKE,car,4.1152261680976885,Object close,13
11,BRAKE,car,5.747126106487006,Object close,14
11,BRAKE,car,5.847952874388721,Object close,15
11,BRAKE,car,6.249999609375024,Object close,16
11,BRAKE,car,6.060605693296624,Object close,19
11,STEER LEFT,car,5.524861573212068,Object in center path,21
11,STEER LEFT,car,4.629629415294934,Object in center path,22
12,STEER LEFT,car,6.09756060380728,Object in center path,1
12,STEER LEFT,car,6.711408945543024,Object in center path,2
12,BRAKE,car,5.405405113221345,Object close,3
12,BRAKE,car,5.319148653236773,Object close,4
12,BRAKE,car,5.780346486685174,Object close,5
12,STEER LEFT,car,6.172839125133387,Object in center path,6
12,STEER LEFT,car,6.711408945543024,Object in center path,7
12,STEER LEFT,car,5.555555246913597,Object in center path,8
12,BRAKE,car,6.249999609375024,Object close,9
12,STEER LEFT,car,6.535947285232203,Object in center path,10
12,BRAKE,car,5.649717194931232,Object close,11
12,BRAKE,car,6.849314599362014,Object close,12
12,BRAKE,car,4.132231234205321,Object close,13
12,BRAKE,car,5.847952874388721,Object close,14
12,BRAKE,car,5.847952874388721,Object close,15
12,BRAKE,car,6.211179738436041,Object close,16
12,BRAKE,car,6.060605693296624,Object close,19
12,STEER LEFT,car,5.263157617728546,Object in center path,21
12,STEER LEFT,car,4.716980909576372,Object in center path,22
13,STEER LEFT,car,6.211179738436041,Object in center path,1
13,STEER LEFT,car,6.896551248513707,Object in center path,2
13,BRAKE,car,5.434782313327048,Object close,3
13,BRAKE,car,5.319148653236773,Object close,4
13,BRAKE,car,5.813953150351561,Object close,5
13,STEER LEFT,car,6.172839125133387,Object in center path,6
13,STEER LEFT,car,6.6666662222222515,Object in center path,7
13,STEER LEFT,car,5.555555246913597,Object in center path,8
13,BRAKE,car,6.369426345896411,Object close,9
13,STEER LEFT,car,6.493506071850255,Object in center path,10
13,BRAKE,car,5.61797721247319,Object close,11
13,BRAKE,car,4.132231234205321,Object close,13
13,BRAKE,car,5.882352595155729,Object close,14
13,BRAKE,car,5.847952874388721,Object close,15
13,BRAKE,car,6.249999609375024,Object close,16
13,BRAKE,car,5.988023593531521,Object close,19
13,BRAKE,car,6.060605693296624,Object close,20
13,STEER LEFT,car,5.291005011057936,Object in center path,21
13,STEER LEFT,car,4.807692076553265,Object in center path,22
14,STEER LEFT,car,6.211179738436041,Object in center path,1
14,STEER LEFT,car,6.993006503985559,Object in center path,2
14,BRAKE,car,5.434782313327048,Object close,3
14,BRAKE,car,5.347593296920144,Object close,4
14,BRAKE,car,5.813953150351561,Object close,5
14,STEER LEFT,car,6.211179738436041,Object in center path,6
14,STEER LEFT,car,6.6666662222222515,Object in center path,7
14,STEER LEFT,car,5.524861573212068,Object in center path,8
14,BRAKE,car,6.410255999342564,Object close,9
14,STEER LEFT,car,6.410255999342564,Object in center path,10
14,BRAKE,car,5.649717194931232,Object close,11
14,BRAKE,car,4.132231234205321,Object close,13
14,BRAKE,car,5.813953150351561,Object close,14
14,BRAKE,car,5.847952874388721,Object close,15
14,BRAKE,car,6.249999609375024,Object close,16
14,BRAKE,car,6.134968948774911,Object close,19
14,BRAKE,car,5.917159413185834,Object close,20
14,STEER LEFT,car,5.319148653236773,Object in center path,21
14,STEER LEFT,car,4.878048542534217,Object in center path,22
15,STEER LEFT,car,6.09756060380728,Object in center path,1
15,STEER LEFT,car,7.042253025193449,Object in center path,2
15,BRAKE,car,5.405405113221345,Object close,3
15,BRAKE,car,5.347593296920144,Object close,4
15,BRAKE,car,5.847952874388721,Object close,5
15,STEER LEFT,car,6.060605693296624,Object in center path,6
15,STEER LEFT,car,6.6666662222222515,Object in center path,7
15,STEER LEFT,car,5.524861573212068,Object in center path,8
15,BRAKE,car,6.410255999342564,Object close,9
15,STEER LEFT,car,6.493506071850255,Object in center path,10
15,BRAKE,car,5.681817858987621,Object close,11
15,BRAKE,car,4.1152261680976885,Object close,13
15,BRAKE,car,6.024096022644818,Object close,14
15,BRAKE,car,5.813953150351561,Object close,15
15,BRAKE,car,6.249999609375024,Object close,16
15,BRAKE,car,5.917159413185834,Object close,19
15,BRAKE,car,5.780346486685174,Object close,20
15,STEER LEFT,car,5.319148653236773,Object in center path,21
15,STEER LEFT,car,4.97512413059084,Object in center path,22
16,STEER LEFT,car,6.09756060380728,Object in center path,1
16,STEER LEFT,car,6.6666662222222515,Object in center path,2
16,BRAKE,car,5.434782313327048,Object close,3
16,BRAKE,car,5.347593296920144,Object close,4
16,BRAKE,car,5.847952874388721,Object close,5
16,STEER LEFT,car,5.988023593531521,Object in center path,6
16,STEER LEFT,car,6.756756300219169,Object in center path,7
16,STEER LEFT,car,5.524861573212068,Object in center path,8
16,BRAKE,car,6.451612486992743,Object close,9
16,STEER LEFT,car,6.369426345896411,Object in center path,10
16,BRAKE,car,5.649717194931232,Object close,11
16,BRAKE,car,4.132231234205321,Object close,13
16,BRAKE,car,6.024096022644818,Object close,14
16,BRAKE,car,5.813953150351561,Object close,15
16,BRAKE,car,6.249999609375024,Object close,16
16,BRAKE,car,5.847952874388721,Object close,19
16,BRAKE,car,5.847952874388721,Object close,20
16,STEER LEFT,car,5.464480575711444,Object in center path,21
16,STEER LEFT,car,5.076141874307519,Object in center path,22
17,STEER LEFT,car,6.09756060380728,Object in center path,1
17,STEER LEFT,car,6.622516117714164,Object in center path,2
17,BRAKE,car,5.464480575711444,Object close,3
17,BRAKE,car,5.347593296920144,Object close,4
17,BRAKE,car,5.847952874388721,Object close,5
17,STEER LEFT,car,5.952380598072583,Object in center path,6
17,STEER LEFT,car,6.711408945543024,Object in center path,7
17,STEER LEFT,car,5.524861573212068,Object in center path,8
17,BRAKE,car,6.493506071850255,Object close,9
17,STEER LEFT,car,6.249999609375024,Object in center path,10
17,BRAKE,car,5.464480575711444,Object close,11
17,BRAKE,car,4.132231234205321,Object close,13
17,BRAKE,car,5.917159413185834,Object close,14
17,BRAKE,car,5.813953150351561,Object close,15
17,BRAKE,car,6.249999609375024,Object close,16
17,BRAKE,car,5.61797721247319,Object close,19
17,BRAKE,car,5.813953150351561,Object close,20
17,STEER LEFT,car,5.128204865220264,Object in center path,21
17,STEER LEFT,car,5.181346881795498,Object in center path,22
17,STEER LEFT,car,6.6666662222222515,Object in center path,30
17,STEER LEFT,car,5.882352595155729,Object in center path,31
18,STEER LEFT,car,6.024096022644818,Object in center path,1
18,STEER LEFT,car,6.578946935595596,Object in center path,2
18,BRAKE,car,5.524861573212068,Object close,3
18,BRAKE,car,5.347593296920144,Object close,4
18,BRAKE,car,5.882352595155729,Object close,5
18,STEER LEFT,car,6.060605693296624,Object in center path,6
18,STEER LEFT,car,6.6666662222222515,Object in center path,7
18,STEER LEFT,car,5.494505192609605,Object in center path,8
18,BRAKE,car,6.535947285232203,Object close,9
18,STEER LEFT,car,6.211179738436041,Object in center path,10
18,BRAKE,car,5.319148653236773,Object close,11
18,BRAKE,car,4.1152261680976885,Object close,13
18,BRAKE,car,5.813953150351561,Object close,14
18,BRAKE,car,5.780346486685174,Object close,15
18,BRAKE,car,6.249999609375024,Object close,16
18,BRAKE,car,5.405405113221345,Object close,19
18,BRAKE,car,6.024096022644818,Object close,20
18,STEER LEFT,car,5.102040556018339,Object in center path,21
18,STEER LEFT,car,5.291005011057936,Object in center path,22
18,STEER LEFT,car,6.711408945543024,Object in center path,30
18,STEER LEFT,car,5.882352595155729,Object in center path,31
18,STEER LEFT,car,7.246376286494471,Object in center path,32
19,STEER LEFT,car,6.024096022644818,Object in center path,1
19,STEER LEFT,car,6.6666662222222515,Object in center path,2
19,BRAKE,car,5.494505192609605,Object close,3
19,BRAKE,car,5.319148653236773,Object close,4
19,BRAKE,car,5.882352595155729,Object close,5
19,STEER LEFT,car,6.09756060380728,Object in center path,6
19,STEER LEFT,car,6.622516117714164,Object in center path,7
19,BRAKE,car,6.578946935595596,Object close,9
19,STEER LEFT,car,6.289307780546681,Object in center path,10
19,BRAKE,car,5.181346881795498,Object close,11
19,BRAKE,car,4.1152261680976885,Object close,13
19,BRAKE,car,6.024096022644818,Object close,14
19,BRAKE,car,5.747126106487006,Object close,15
19,BRAKE,car,6.249999609375024,Object close,16
19,BRAKE,car,5.405405113221345,Object close,19
19,BRAKE,car,5.952380598072583,Object close,20
19,STEER LEFT,car,5.102040556018339,Object in center path,21
19,STEER LEFT,car,5.405405113221345,Object in center path,22
19,STEER LEFT,car,6.6666662222222515,Object in center path,30
19,STEER LEFT,car,5.917159413185834,Object in center path,31
19,STEER LEFT,car,7.142856632653097,Object in center path,32
20,STEER LEFT,car,6.134968948774911,Object in center path,1
20,STEER LEFT,car,6.8027206256652635,Object in center path,2
20,BRAKE,car,5.524861573212068,Object close,3
20,BRAKE,car,5.319148653236773,Object close,4
20,BRAKE,car,5.882352595155729,Object close,5
20,STEER LEFT,car,6.024096022644818,Object in center path,6
20,STEER LEFT,car,6.711408945543024,Object in center path,7
20,BRAKE,car,6.622516117714164,Object close,9
20,STEER LEFT,car,6.249999609375024,Object in center path,10
20,BRAKE,car,5.434782313327048,Object close,11
20,BRAKE,car,4.1152261680976885,Object close,13
20,BRAKE,car,5.882352595155729,Object close,14
20,BRAKE,car,5.747126106487006,Object close,15
20,BRAKE,car,6.249999609375024,Object close,16
20,BRAKE,car,6.024096022644818,Object close,19
20,BRAKE,car,5.780346486685174,Object close,20
20,STEER LEFT,car,5.263157617728546,Object in center path,21
20,STEER LEFT,car,5.524861573212068,Object in center path,22
20,STEER LEFT,car,6.578946935595596,Object in center path,30
20,STEER LEFT,car,5.988023593531521,Object in center path,31
20,STEER LEFT,car,7.092198078567512,Object in center path,32
20,STEER LEFT,car,7.042253025193449,Object in center path,34
21,STEER LEFT,car,6.211179738436041,Object in center path,1
21,STEER LEFT,car,6.849314599362014,Object in center path,2
21,BRAKE,car,5.524861573212068,Object close,3
21,BRAKE,car,5.347593296920144,Object close,4
21,BRAKE,car,5.882352595155729,Object close,5
21,STEER LEFT,car,6.024096022644818,Object in center path,6
21,STEER LEFT,car,6.711408945543024,Object in center path,7
21,BRAKE,car,6.493506071850255,Object close,9
21,STEER LEFT,car,6.369426345896411,Object in center path,10
21,BRAKE,car,5.649717194931232,Object close,11
21,BRAKE,car,4.166666493055563,Object close,13
21,BRAKE,car,5.917159413185834,Object close,14
21,BRAKE,car,5.747126106487006,Object close,15
21,BRAKE,car,6.211179738436041,Object close,16
21,BRAKE,car,6.211179738436041,Object close,19
21,BRAKE,car,5.747126106487006,Object close,20
21,STEER LEFT,car,5.102040556018339,Object in center path,21
